prolific_pid,trial,balance,chosen_number,winner_number,banner_yn,win_status,hot_set_size,outcome_rel_to_hot,choice_hot,regret_chosen,regret_notchosen_winner,regret_notchosen_hot_loser,comp_tries_to_pass
663a7dc83986ee24fb6ec0e6,3,0.07000000000000002,16,36,Banner,Lost,16,hot_win_number,Chose Hot,56,56,0,2
663a7dc83986ee24fb6ec0e6,4,0.42,3,3,No Banner,Won,0,NA,Chose Non-Hot,0,NA,NA,2
664493c2f8a40a43beacc839,1,0.09000000000000001,11,6,No Banner,Lost,0,NA,Chose Non-Hot,25,25,NA,2
664493c2f8a40a43beacc839,2,0.08000000000000002,17,19,Banner,Lost,2,hot_win_number,Chose Non-Hot,15,15,5,2
664493c2f8a40a43beacc839,3,0.07000000000000002,28,10,Banner,Lost,16,hot_win_number,Chose Hot,10,10,2,2
664493c2f8a40a43beacc839,4,0.42,21,21,No Banner,Won,0,NA,Chose Non-Hot,0,NA,NA,2
66463e4efb99fba5a67a010a,1,0.09000000000000001,15,5,No Banner,Lost,0,NA,Chose Non-Hot,77,89,NA,1
66463e4efb99fba5a67a010a,2,0.08000000000000002,21,29,Banner,Lost,2,hot_win_number,Chose Hot,94,91,NA,1
66463e4efb99fba5a67a010a,3,0.07000000000000002,21,32,Banner,Lost,16,hot_win_number,Chose Hot,83,89,84,1
66463e4efb99fba5a67a010a,4,0.42,20,20,No Banner,Won,0,NA,Chose Non-Hot,1,NA,NA,1
664e835c732628231a08fff5,1,0.09000000000000001,14,24,No Banner,Lost,0,NA,Chose Non-Hot,9,56,NA,2
664e835c732628231a08fff5,2,0.08000000000000002,11,20,Banner,Lost,2,hot_win_number,Chose Hot,7,35,NA,2
664e835c732628231a08fff5,3,0.07000000000000002,9,25,Banner,Lost,16,hot_win_number,Chose Hot,14,24,10,2
664e835c732628231a08fff5,4,0.42,36,36,No Banner,Won,0,NA,Chose Non-Hot,8,NA,NA,2
66585ecc44201efc39f333bc,1,0.09000000000000001,18,32,No Banner,Lost,0,NA,Chose Non-Hot,97,77,NA,1
66585ecc44201efc39f333bc,2,0.08000000000000002,27,7,Banner,Lost,2,hot_win_number,Chose Hot,96,91,NA,1
66585ecc44201efc39f333bc,3,0.07000000000000002,1,9,Banner,Lost,16,hot_win_number,Chose Hot,100,100,15,1
66585ecc44201efc39f333bc,4,0.42,8,8,No Banner,Won,0,NA,Chose Non-Hot,6,NA,NA,1
6667627ba6d0d6f7b08686ab,1,0.09000000000000001,22,8,No Banner,Lost,0,NA,Chose Non-Hot,100,100,NA,2
